"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2024","82.55","82.55","82.55","82.55","","0.07%"
"06/27/2024","82.49","82.49","82.49","82.49","","0.03%"
"06/26/2024","82.47","82.47","82.47","82.47","","0.05%"
"06/25/2024","82.42","82.42","82.42","82.42","","-0.22%"
"06/24/2024","82.60","82.60","82.60","82.60","","0.22%"
"06/21/2024","82.42","82.42","82.42","82.42","","-0.18%"
"06/20/2024","82.57","82.57","82.57","82.57","","0.10%"
"06/18/2024","82.49","82.49","82.49","82.49","","0.41%"
"06/17/2024","82.15","82.15","82.15","82.15","","0.76%"
"06/14/2024","81.53","81.53","81.53","81.53","","-0.09%"
"06/13/2024","81.60","81.60","81.60","81.60","","-0.10%"
"06/12/2024","81.68","81.68","81.68","81.68","","0.40%"
"06/11/2024","81.36","81.36","81.36","81.36","","0.12%"
"06/10/2024","81.26","81.26","81.26","81.26","","1.84%"
"06/07/2024","79.79","79.79","79.79","79.79","","-0.27%"
"06/06/2024","80.01","80.01","80.01","80.01","","1.45%"
"06/05/2024","78.87","78.87","78.87","78.87","","0.52%"
"06/04/2024","78.46","78.46","78.46","78.46","","-0.90%"
"06/03/2024","79.17","79.17","79.17","79.17","","-5.79%"
"05/31/2024","84.04","84.03","84.03","84.03","","0.04%"
"05/30/2024","84.00","84.00","84.00","84.00","","-0.06%"
"05/29/2024","84.05","84.05","84.05","84.05","","-0.12%"
"05/28/2024","84.15","84.15","84.15","84.15","","0.39%"
"05/24/2024","83.83","83.83","83.83","83.83","","0.22%"
"05/23/2024","83.65","83.65","83.65","83.65","","-0.14%"
"05/22/2024","83.76","83.76","83.76","83.76","","-0.43%"
"05/21/2024","84.13","84.13","84.13","84.13","","-0.24%"
"05/20/2024","84.33","84.33","84.33","84.33","","-0.06%"
"05/17/2024","84.38","84.38","84.38","84.38","","0.52%"
"05/16/2024","83.94","83.94","83.94","83.94","","0.33%"
"05/15/2024","83.67","83.67","83.67","83.67","","0.13%"
"05/14/2024","83.56","83.56","83.56","83.56","","-0.70%"
"05/13/2024","84.14","84.14","84.14","84.14","","0.59%"
"05/10/2024","83.65","83.65","83.65","83.65","","-0.64%"
"05/09/2024","84.18","84.19","84.19","84.19","","0.03%"
"05/08/2024","84.16","84.16","84.16","84.16","","0.70%"
"05/07/2024","83.57","83.57","83.57","83.57","","0.02%"
"05/06/2024","83.56","83.56","83.56","83.56","","0.43%"
"05/03/2024","83.20","83.20","83.20","83.20","","-0.80%"
"05/02/2024","83.87","83.87","83.87","83.87","","0.49%"
"05/01/2024","83.46","83.46","83.46","83.46","","-6.41%"
"04/30/2024","89.17","89.17","89.17","89.17","","0.07%"
"04/29/2024","89.11","89.11","89.11","89.11","","-0.09%"
"04/26/2024","89.19","89.19","89.19","89.19","","0.00%"
"04/25/2024","89.18","89.19","89.19","89.19","","0.18%"
"04/24/2024","89.02","89.02","89.02","89.02","","-0.02%"
"04/23/2024","89.04","89.04","89.04","89.04","","0.35%"
"04/22/2024","88.72","88.72","88.72","88.72","","-0.10%"
"04/19/2024","88.82","88.81","88.81","88.81","","0.00%"
"04/18/2024","88.81","88.81","88.81","88.81","","-0.03%"
"04/17/2024","88.84","88.84","88.84","88.84","","-1.19%"
"04/16/2024","89.91","89.91","89.91","89.91","","-0.05%"
"04/15/2024","89.96","89.96","89.96","89.96","","-0.29%"
